"Modul;Kuerzel;Gewichtung;Note"
"Mathematik 1;MA1;10;0"
"Mathematik 2;MA2;7;0"
"Physik 1;PH1;4;0"
"Physik 2;PH2;4;0"
"Elektrotechnik 1;ET1;6;0"
"Elektrotechnik 2 und Elektronik 1;ET2;6;0"
"Einfuehrung in die regenerativen Energien;EE;4;0"
"Elektrische und regenerative Energietechnik 1;ER1;5;0"
"Programmieren 1;PR1;8;0"
"Programmieren 2;PR2;5;0"
"Projektmanagement und wissenschaftliches Arbeiten;PM;3;0"
"Elektrische und regenerative Energietechnik 2;ER2;10;0"
"Signale und Systeme;SS;10;0"
"Datenstrukturen und verteilte Systeme;VS;10;0"
"Elektronik 2;EL2;12;0"
"Steuerungssysteme und Bussysteme;SB;10;0"
"Regelungstechnik;RT;10;0"
"Mikroprozessortechnik;MP;10;0"
"Digitaltechnik;DI;10;0"
"Numerik und Stochastik;NS;10;0"
"Betriebswirtschaftslehre fuer Ingenieure;BW;8;0"
"Integrationsprojekt 1 Systemtechnik;IPJ1;10;0"
"Integrationsprojekt 2 Regenerative Energie;IPJ2;10;0"
"Bachelorprojekt Energieeffizienz;BPP;0;0"
"Praxissemester mit Kolloquium;PS;0;0"
"Antriebe und Leistungselektronik;AT;10;0"
"Elektrische Energieverteilung;EV;10;0"
"Gebaeudeeffizienz;GF;10;0"
"Informations- und Kommunikationstechnologien fuer Energienetze;IK;10;0"
"Energielogistik;EG;10;0"
"Energiewirtschaft;LE;10;0"
"Wahlpflichtmodul 1;WP1;10;0"
"Wahlpflichtmodul 2;WP2;10;0"
"Wahlflichtprojekt;PO;10;0"
"Bachelorarbeit mit Kolloquium;BA;70;0"
